Category: All categories,,,,,,
,,,,,,
Week,toilet paper: (Australia),zoom: (Australia),lockdown: (Australia),quarantine: (Australia),Coronavirus/9,Coronavirus
2019-06-23,1,4,<1,<1,<1,<1
2019-06-30,1,4,<1,<1,0,0
2019-07-07,1,4,<1,<1,<1,<1
2019-07-14,1,4,<1,<1,<1,<1
2019-07-21,1,4,<1,<1,<1,<1
2019-07-28,1,4,<1,1,0,0
2019-08-04,1,3,<1,<1,0,0
2019-08-11,1,4,<1,1,<1,<1
2019-08-18,1,4,<1,<1,<1,<1
2019-08-25,1,4,<1,<1,<1,<1
2019-09-01,1,4,<1,1,<1,<1
2019-09-08,1,4,<1,<1,<1,<1
2019-09-15,1,4,1,<1,<1,<1
2019-09-22,1,4,<1,<1,<1,<1
2019-09-29,1,4,<1,1,<1,<1
2019-10-06,1,4,<1,<1,0,0
2019-10-13,1,4,<1,<1,<1,<1
2019-10-20,1,4,<1,<1,<1,<1
2019-10-27,1,4,<1,<1,<1,<1
2019-11-03,1,3,<1,1,<1,<1
2019-11-10,<1,4,<1,<1,<1,<1
2019-11-17,1,4,<1,<1,<1,<1
2019-11-24,1,4,<1,<1,<1,<1
2019-12-01,1,4,<1,<1,<1,<1
2019-12-08,1,4,<1,<1,<1,<1
2019-12-15,1,3,<1,<1,<1,<1
2019-12-22,1,3,<1,<1,<1,<1
2019-12-29,<1,3,<1,<1,<1,<1
2020-01-05,1,3,<1,<1,<1,<1
2020-01-12,1,4,<1,<1,<1,<1
2020-01-19,1,4,<1,1,6,54
2020-01-26,1,4,1,2,23,207
2020-02-02,1,4,1,2,15,135
2020-02-09,1,4,1,1,11,99
2020-02-16,1,4,<1,1,7,63
2020-02-23,1,4,1,2,17,153
2020-03-01,63,4,2,3,32,288
2020-03-08,44,6,11,7,59,531
2020-03-15,40,29,45,19,93,837
2020-03-22,16,76,100,18,100,900
2020-03-29,9,85,39,13,73,657
2020-04-05,6,71,19,10,67,603
2020-04-12,5,59,16,8,55,495
2020-04-19,3,51,13,6,42,378
2020-04-26,2,52,11,5,26,234
2020-05-03,2,42,10,4,22,198
2020-05-10,1,35,9,4,20,180
2020-05-17,1,29,5,4,15,135
2020-05-24,1,25,5,3,14,126
2020-05-31,1,23,3,3,11,99
2020-06-07,1,18,3,3,11,99
2020-06-14,1,19,3,3,11,99